P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3
FBgn0002521	475	539	591	160	189	246	581	552.999	671	258.001	283	298
FBgn0002522	0	0	0	0	0	0	1	3	3	2	3	3
FBgn0002524	429	497	502	238	215	229	320	459	382	191	172	174
FBgn0002525	917.999	913	1073.001	364	360	413	386	460	556	240	284	257
FBgn0002526	1169	2020	1538	975	987	732	679	2202	1557	1174	1138	935.012
FBgn0002542	42	18	22	7	2	6	32	35	53	17	8	7
FBgn0002543	30	26	32	19	7	10	18	37	30	15	14	17
FBgn0002552	415	397	332	131	154	134	299	407.641	371	150	129	130
FBgn0002561	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0002562	2	0	0	0	0	0	4	10	3	4	7	3
FBgn0002563	1	0	1	1	0	0	0	0	0	0	1	0
FBgn0002564	0	2	2	3	0	0	0	0	0	0	0	0
FBgn0002565	15	1	13	8	7	9	3	0	0	3	9	3
FBgn0002566	1100.999	1106	1157	474	475.001	480.999	1019.997	1188.843	1321.895	602.999	580	601
FBgn0002567	365	363.999	405.999	168	181	208	185	224	210	142	215	191
FBgn0002569	2	0	1	0	0	0	9	2	0	0	0	0
FBgn0002570	16	7	16	0	0	5	11	0	0	1	0	0
FBgn0002571	1	0	0	0	0	0	9	0	0	0	0	0
FBgn0002573	0	0	0	0	0	0	0	0	0	0	2	0
FBgn0002576	0	0	0	0	0	0	0	0	0	0	1	0
FBgn0002577	0	0	0	0	0	0	12	5	9	9	8	9
FBgn0002578	4	1	2	1	0	0	2	0	1	0	0	0
FBgn0002579	2852	3479.861	4380	12	13	12	3514.685	2082	3515.387	8312.111	8431	9675.979
FBgn0002590	127.757	134.001	135	93	129	127	121	96.085	131.055	153.09	194	141.9
FBgn0002592	0	0	0	0	0	0	3	0	0	0	0	0
FBgn0002593	5679	6638.056	8837.345	6702	6647.288	7154	3789.401	1987.036	3848.03	6189	6271.008	6829.882
